"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
"(4as,6ar,6as,6br,8ar,10s,12ar,14br)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005310","TCMol22466","(4aS,6aR,6aS,6bR,8aR,10S,12aR,14bR)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid","14.3558859688","456.780","0.7559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(r)-()-citronellal","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005315","TCMol22471","(R)-()-Citronellal","50.7785154756","154.280","0.020405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(z,z)-alpha-farnesene","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005391","TCMol22547","(Z,Z)-alpha-farnesene","8.46919241714","204.390","0.047295","5317320",NA,"(Z,Z)-alpha-farnesene;NA","(Z,Z)-alpha-farnesene",NA,NA,NA,NA,NA,NA,NA,NA,"C15H24","(Z,Z)-alpha-farnesene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(z)-2-methyl-5-[(1s,2r,4r)-2-methyl-3-methylene-2-norbornanyl]pent-2-en-1-ol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005394","TCMol22550","(Z)-2-methyl-5-[(1S,2R,4R)-2-methyl-3-methylene-2-norbornanyl]pent-2-en-1-ol","35.2833652101","220.390","0.088125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[(3s,4r,5r)-5-[[(2r,3s,4s,5r,6s)-6-(2-acetyl-5-methoxyphenoxy)-3,4,5-trihydroxyoxan-2-yl]methoxy]-3,4-dihydroxyoxolan-3-yl]methyl 3,4,5-trihydroxybenzoate","Panax Ginseng C. A. Mey.","人参","Renshen","MOL002312","TCMol22401","[(3S,4R,5R)-5-[[(2R,3S,4S,5R,6S)-6-(2-acetyl-5-methoxyphenoxy)-3,4,5-trihydroxyoxan-2-yl]methoxy]-3,4-dihydroxyoxolan-3-yl]methyl 3,4,5-trihydroxybenzoate","5.61416277167","612.590","0.63433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-hexadecyne","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005271","TCMol22427","1-HEXADECYNE","3.94379198459","222.460","0.063045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12-o-nicotinoylisolineolone","Panax Ginseng C. A. Mey.","人参","Renshen","MOL004498","TCMol22422","12-O-Nicotinoylisolineolone","20.7042736914","469.630","0.83406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-tetradecenyl acetate","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005272","TCMol22428","13-Tetradecenyl acetate","36.7603806659","254.460","0.10041","521718",NA,"13-Tetradecenyl acetate;NA","13-Tetradecenyl acetate",NA,NA,NA,NA,NA,NA,NA,NA,"C16H30O2","13-Tetradecenyl acetate","RELA;KEAP1"
"16-oxoseratenediol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005273","TCMol22429","16-Oxoseratenediol","15.1008015416","456.780","0.75175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-formylpyrrole","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005381","TCMol22537","2-Formylpyrrole","41.5814854562","95.110","0.010115","13854","ZSKGQVFRTSEPJT-UHFFFAOYSA-N","1H-pyrrole-2-carbaldehyde;2-Formylpyrrole","1H-Pyrrole-2-carboxaldehyde","C1=CNC(=C1)C=O",0.6,NA,NA,NA,NA,NA,"HMDB0036057","C5H5NO","2-Formylpyrrole","ACHE;BCHE;COLQ"
