"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
"arjunglucoside i","Prunellae Spica","夏枯草","Xiakucao","MOL006768","TCMol28311","arjunglucoside I","8.10856495412","666.940","0.34809","14658050","CMZFNIMQBCBHEX-APNSOIJXSA-N","Arjunglucoside I","Arjunglucoside I","CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C",2.7,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,"C36H58O11","Arjunglucoside I",NA
"astragalin","Prunellae Spica","夏枯草","Xiakucao","MOL000561","TCMol28301","Astragalin","14.02684507","448.410","0.73616","5282102","JPUKWEQWGBDDQB-QSOFNFLRSA-N","5,7-dihydroxy-2-(4-hydroxyphenyl)-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one;Astragalin;Kaempferol 3-O-.beta.-D-glucopyranoside;Kaempferol-3-glucoside;Kaempferol-3-Glucoside;Kaempferol-3-O-glucoside","Astragalin","C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O",0.7,"Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","C12249",NA,NA,NA,"Astragalin","MAPK1;ZEB1;AKT1;VEGFA;MMP9;AR;AKR1C3;CBR1;BCL2L11;CA12;PNLIP;CA1;CA2;Akr1b1;nanH;AKR1B1;PTPN1;ACHE;CA4;EPHX2;CA7;Ace"
"beta-sitosterol","Prunellae Spica","夏枯草","Xiakucao","MOL000358","TCMol28284","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","Beta-Sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Prunellae Spica","夏枯草","Xiakucao","MOL000358","TCMol28284","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","BETA-SITOSTEROL","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Prunellae Spica","夏枯草","Xiakucao","MOL000358","TCMol28284","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","Beta-sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Prunellae Spica","夏枯草","Xiakucao","MOL000358","TCMol28284","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","beta-Sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"beta-sitosterol","Prunellae Spica","夏枯草","Xiakucao","MOL000358","TCMol28284","beta-sitosterol","36.9139058327","414.790","0.75123","222284","KZJWDPNRJALLNS-VJSFXXLFSA-N","(1S,2R,5S,10S,11S,14R,15R)-14-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol;(3beta)-stigmast-5-en-3-ol;beta-sitosterol;beta-Sitosterol;Beta-sitosterol;Beta-Sitosterol;phytosterol;sitosterol;Sitosterol;Sobatum","Harzol","CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",9.3,NA,NA,NA,"C01753;D08518",NA,NA,"C29H50O","beta-sitosterol","TGFB1;CASP8;BAX;MAP2;EDN1;PRKCA;CASP9;BCL2;CASP3;PRKAA2;SIGMAR1;CACNG3;CACNG2;GRIN3A;GRIN3B;CYP27B1;ESR1;ESR2;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;CLEC4E;CACNG5;CACNG4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;AR;PPARA;CACNA2D3;GABRQ;CACNG8;CACNG7;CACNG6;RORA;RXRA;SULT2B1;THRB;VDR;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;NR1I2;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4;NR1I3;F2;POLB;CYP3A4;CYP2D6"
"caffeic acid","Prunellae Spica","夏枯草","Xiakucao","MOL000223","TCMol28277","caffeic acid","25.7643980371","180.170","0.050089","689043","QAIPRVGONGVQAS-DUXPYHPUSA-N","(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid;3-(3,4-dihydroxyphenyl)acrylic acid;3-(3,4-dihydroxyphenyl)prop-2-enoic acid;Caffeate;CAFFEATE;caffeic acid;Caffeic acid;Caffeic Acid;trans-Caffeic acid;Trans-caffeic acid","Caffeic acid","C1=CC(=C(C=C1C=CC(=O)O)O)O",1.2,NA,NA,NA,"C01197;C01481",NA,NA,NA,"Caffeic Acid","MAPK3;KCNN4;CYP1A2;TNF;NFKB1;CYP3A4;SELP;CTSC;PTGS1;CYP2C9;TLR4;CYP2D6;TOP1;CYP2C19;NFE2L2;MAPK1;HMOX1;RAC1;PRKCB;ACHE;PTGS2;CYP1A1;GFAP;BCHE;ALOX5;PPO2;CA12;AKR1B10;EGFR;PNLIP;CA1;CA2;TTR;MMP1;gag-pol;APP;MAL62;CA3;HSP90AA1;LOX1.1;MMP2;Alox5;MMP9;AKR1B1;P4HA1;PTPN1;Comt;CA4;CA6;Si;DPP4;AGTR1;CA5A;PTPN7;LOX1.5;CA7;DUSP3;BACE1;ANTXR2;mtcA1;mtcA2;HYAL1;HDAC1;CA9;ARG1;Gaa;Ca13;KDM5B;CA14;CA5B"
"caffeic acid","Prunellae Spica","夏枯草","Xiakucao","MOL000223","TCMol28277","caffeic acid","25.7643980371","180.170","0.050089","689043","QAIPRVGONGVQAS-DUXPYHPUSA-N","(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid;3-(3,4-dihydroxyphenyl)acrylic acid;3-(3,4-dihydroxyphenyl)prop-2-enoic acid;Caffeate;CAFFEATE;caffeic acid;Caffeic acid;Caffeic Acid;trans-Caffeic acid;Trans-caffeic acid","Caffeic acid","C1=CC(=C(C=C1C=CC(=O)O)O)O",1.2,NA,NA,NA,"C01197;C01481",NA,NA,NA,"caffeic acid","MAPK3;KCNN4;CYP1A2;TNF;NFKB1;CYP3A4;SELP;CTSC;PTGS1;CYP2C9;TLR4;CYP2D6;TOP1;CYP2C19;NFE2L2;MAPK1;HMOX1;RAC1;PRKCB;ACHE;PTGS2;CYP1A1;GFAP;BCHE;ALOX5;PPO2;CA12;AKR1B10;EGFR;PNLIP;CA1;CA2;TTR;MMP1;gag-pol;APP;MAL62;CA3;HSP90AA1;LOX1.1;MMP2;Alox5;MMP9;AKR1B1;P4HA1;PTPN1;Comt;CA4;CA6;Si;DPP4;AGTR1;CA5A;PTPN7;LOX1.5;CA7;DUSP3;BACE1;ANTXR2;mtcA1;mtcA2;HYAL1;HDAC1;CA9;ARG1;Gaa;Ca13;KDM5B;CA14;CA5B"
"caffeic acid","Prunellae Spica","夏枯草","Xiakucao","MOL000223","TCMol28277","caffeic acid","25.7643980371","180.170","0.050089","689043","QAIPRVGONGVQAS-DUXPYHPUSA-N","(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid;3-(3,4-dihydroxyphenyl)acrylic acid;3-(3,4-dihydroxyphenyl)prop-2-enoic acid;Caffeate;CAFFEATE;caffeic acid;Caffeic acid;Caffeic Acid;trans-Caffeic acid;Trans-caffeic acid","Caffeic acid","C1=CC(=C(C=C1C=CC(=O)O)O)O",1.2,NA,NA,NA,"C01197;C01481",NA,NA,NA,"Caffeic acid","MAPK3;KCNN4;CYP1A2;TNF;NFKB1;CYP3A4;SELP;CTSC;PTGS1;CYP2C9;TLR4;CYP2D6;TOP1;CYP2C19;NFE2L2;MAPK1;HMOX1;RAC1;PRKCB;ACHE;PTGS2;CYP1A1;GFAP;BCHE;ALOX5;PPO2;CA12;AKR1B10;EGFR;PNLIP;CA1;CA2;TTR;MMP1;gag-pol;APP;MAL62;CA3;HSP90AA1;LOX1.1;MMP2;Alox5;MMP9;AKR1B1;P4HA1;PTPN1;Comt;CA4;CA6;Si;DPP4;AGTR1;CA5A;PTPN7;LOX1.5;CA7;DUSP3;BACE1;ANTXR2;mtcA1;mtcA2;HYAL1;HDAC1;CA9;ARG1;Gaa;Ca13;KDM5B;CA14;CA5B"
