Source,Target,Weight
Brain Stem,Trigeminal Neuralgia,2
"Dominance, Cerebral",Trigeminal Nerve,2
Cervical Vertebrae,"Diagnosis, Differential",2
"Diagnosis, Differential",Spinal Cord,2
Abducens Nerve Diseases,"Cranial Fossa, Posterior",2
Abducens Nerve Diseases,Syndrome,2
"Cranial Fossa, Posterior",Syndrome,2
"Diagnosis, Differential","Dominance, Cerebral",3
"Diagnosis, Differential",Neurologic Examination,3
"Diagnosis, Differential","Tomography, X-Ray Computed",7
"Dominance, Cerebral",Neurologic Examination,2
"Dominance, Cerebral","Tomography, X-Ray Computed",2
Frontal Lobe,"Tomography, X-Ray Computed",2
Cerebral Hemorrhage,"Tomography, X-Ray Computed",3
Functional Laterality,"Tomography, X-Ray Computed",2
Brain Diseases,Trigeminal Neuralgia,2
Brain Neoplasms,"Diagnosis, Differential",2
Brain Neoplasms,Meningioma,6
Meningioma,Trigeminal Neuralgia,3
"Tomography, X-Ray Computed",Trigeminal Neuralgia,3
Brain,Hemiplegia,2
Cerebral Hemorrhage,"Diagnosis, Differential",2
Intracranial Aneurysm,"Tomography, X-Ray Computed",2
"Diagnosis, Differential",Facial Paralysis,4
"Diagnosis, Differential",Pseudotumor Cerebri,2
Facial Paralysis,Pseudotumor Cerebri,2
"History, 19th Century",Neurosurgery,3
Cerebrospinal Fluid Leak,Headache,2
Magnetic Resonance Imaging,Syndrome,2
Brain Neoplasms,Meningeal Neoplasms,4
Hydrocephalus,"Tomography, X-Ray Computed",2
Intracranial Aneurysm,"Rupture, Spontaneous",3
Intracranial Hypertension,Papilledema,2
Cerebrospinal Fluid Leak,Myelography,2
Brain Neoplasms,"Cranial Fossa, Posterior",3
"Cranial Fossa, Posterior",Functional Laterality,2
"Cranial Fossa, Posterior",Trigeminal Nerve,2
Facial Paralysis,"Neuroma, Acoustic",2
"Neuroma, Acoustic",Trigeminal Neuralgia,2
Brain Neoplasms,"History, 19th Century",2
Brain Neoplasms,"History, 20th Century",2
Brain Neoplasms,Neurosurgery,2
"Cranial Fossa, Posterior",Meningioma,2
"Diagnosis, Differential",Trigeminal Nerve,2
Facial Paralysis,Trigeminal Nerve,3
Paralysis,Trigeminal Nerve,2
Abducens Nerve Diseases,"Tomography, X-Ray Computed",2
"Diagnosis, Differential",Follow-Up Studies,2
"Diagnosis, Differential",Retrospective Studies,2
Follow-Up Studies,"Tomography, X-Ray Computed",2
Brain Neoplasms,Magnetic Resonance Imaging,2
Radiography,Trigeminal Neuralgia,2
Brain Neoplasms,Paralysis,2
Meningioma,Paralysis,2
"Cranial Fossa, Posterior",Magnetic Resonance Imaging,2
"Cranial Fossa, Posterior","Tomography, X-Ray Computed",2
"Nystagmus, Pathologic",Ophthalmoplegia,2
"Cranial Fossa, Posterior",Trigeminal Neuralgia,2
False localizing sign,Hemiparesis,3
False localizing sign,Ipsilateral,3
Hemiparesis,Ipsilateral,3
Hemiparesis,Kernohan-Woltman notch phenomenon,3
Ipsilateral,Kernohan-Woltman notch phenomenon,3
Brain herniation,Hemiparesis,2
Brain herniation,Ipsilateral,2
