"vina_results","Model","Path","ligand","receptor"
-7.761,"Model_8","output/Docking_Vina/results_Vina_X131900_3LC4.pdb_ligand_vina_out_score.csv","X131900","3LC4"
-7.69,"Model_9","output/Docking_Vina/results_Vina_X131900_3LC4.pdb_ligand_vina_out_score.csv","X131900","3LC4"
-7.342,"Model_1","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
-6.928,"Model_2","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
-6.872,"Model_3","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
-6.854,"Model_4","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
-6.801,"Model_5","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
-6.759,"Model_6","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
-6.712,"Model_7","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
-6.698,"Model_8","output/Docking_Vina/results_Vina_X131900_3T3Z.pdb_ligand_vina_out_score.csv","X131900","3T3Z"
13.394,"Model_1","output/Docking_Vina/results_Vina_X131900_6MA6.pdb_ligand_vina_out_score.csv","X131900","6MA6"
59.84,"Model_1","output/Docking_Vina/results_Vina_X131900_6MA7.pdb_ligand_vina_out_score.csv","X131900","6MA7"
-0.201,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNE.pdb_ligand_vina_out_score.csv","X131900","6UNE"
2.293,"Model_2","output/Docking_Vina/results_Vina_X131900_6UNE.pdb_ligand_vina_out_score.csv","X131900","6UNE"
49.336,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNG.pdb_ligand_vina_out_score.csv","X131900","6UNG"
