"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0032371","regulation of sterol transport","22/835","83/18888",0.265060240963855,5.99575788182671,9.80965641428135,6.47271387751477e-12,7.16186753153252e-11,2.80684661644139e-11,"5468/4790/1950/4792/857/348/7376/9370/6256/23411/335/19/5444/1071/339221/10062/345/336/1066/337/64241/64240",22
"BP","GO:0032374","regulation of cholesterol transport","22/835","83/18888",0.265060240963855,5.99575788182671,9.80965641428135,6.47271387751477e-12,7.16186753153252e-11,2.80684661644139e-11,"5468/4790/1950/4792/857/348/7376/9370/6256/23411/335/19/5444/1071/339221/10062/345/336/1066/337/64241/64240",22
"BP","GO:0070509","calcium ion import","22/835","83/18888",0.265060240963855,5.99575788182671,9.80965641428135,6.47271387751477e-12,7.16186753153252e-11,2.80684661644139e-11,"1499/1950/6347/1636/1392/2641/2645/7442/8912/773/779/776/775/777/487/162514/774/783/6406/6546/6543/8911",22
"BP","GO:0009755","hormone-mediated signaling pathway","34/835","196/18888",0.173469387755102,3.92393987535134,8.84949777410528,6.95245510757637e-12,7.67763291038229e-11,3.00898304274755e-11,"7068/672/2099/5468/367/6714/5594/5781/2100/5970/3717/5914/5915/142/7376/3065/6256/23411/1392/5465/4824/23028/5467/10013/6257/2101/11315/2852/2103/6258/5916/5585/2104/10062",34
"BP","GO:0072577","endothelial cell apoptotic process","20/835","68/18888",0.294117647058824,6.65304684748151,10.0433192545732,7.15506659698639e-12,7.88594547007699e-11,3.09062395564729e-11,"7124/7015/7040/356/3586/3791/3565/3383/6347/4780/959/5054/7057/406921/3690/4217/2852/659/8644/2243",20
"BP","GO:0002218","activation of innate immune response","43/835","298/18888",0.144295302013423,3.2640115741671,8.47221789411377,7.35100715375607e-12,8.08610786913168e-11,3.16907069458121e-11,"7124/207/2099/29126/6714/5295/5970/1387/4792/3320/7099/857/695/142/7097/5599/3659/330/331/4067/3146/6850/948/9212/114548/329/1147/9971/834/6279/3329/6280/29110/5581/4057/8061/22933/10062/6197/5802/23643/79184/57787",43
"BP","GO:0032635","interleukin-6 production","32/835","176/18888",0.181818181818182,4.11279259662493,8.92270328479431,7.93421198890166e-12,8.69373946667419e-11,3.40721091235205e-11,"7124/3569/3458/6774/7040/3586/3553/5781/50943/3082/5970/3552/3605/7099/4843/695/7097/7291/3146/6850/948/351/406921/7494/9971/3329/5777/1051/2149/23765/5004/4828",32
"BP","GO:0032675","regulation of interleukin-6 production","32/835","176/18888",0.181818181818182,4.11279259662493,8.92270328479431,7.93421198890166e-12,8.69373946667419e-11,3.40721091235205e-11,"7124/3569/3458/6774/7040/3586/3553/5781/50943/3082/5970/3552/3605/7099/4843/695/7097/7291/3146/6850/948/351/406921/7494/9971/3329/5777/1051/2149/23765/5004/4828",32
"BP","GO:0006090","pyruvate metabolic process","26/835","118/18888",0.220338983050847,4.98414696031665,9.33671825483704,8.05053840447103e-12,8.80410624349419e-11,3.45046535858703e-11,"3458/6774/2475/3091/3630/5315/3643/2597/2023/351/9759/5465/3939/7351/6566/5663/2645/51085/51548/5562/5563/3099/226/7167/5166/4967",26
"BP","GO:0043535","regulation of blood vessel endothelial cell migration","30/835","156/18888",0.192307692307692,4.35006909258406,9.03595429556283,8.16505951945874e-12,8.90025811840538e-11,3.48814876498498e-11,"7124/207/2260/7040/5468/3091/7422/3791/5743/2247/4780/348/5578/7057/9734/23411/6667/3146/406921/3315/4846/3162/3728/6776/5340/4204/10014/51564/186/5025",30
