"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.697      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.665      1.803      2.079","Model_2","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.551      1.863      2.325","Model_3","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.401      3.855      5.346","Model_4","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.396      2.771      3.586","Model_5","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.305      3.098      4.885","Model_6","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.273      2.774      4.505","Model_7","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.267      2.405      2.692","Model_8","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.188      2.737      3.835","Model_9","output/Docking_Vina/results_Vina_X6274_7UF9.pdb_ligand_vina_out_score.csv"
