"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.587      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.416      2.229      3.040","Model_2","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.243      2.304      3.817","Model_3","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.184      1.642      4.214","Model_4","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.110      1.657      2.504","Model_5","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.811      1.961      3.534","Model_6","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.523      1.895      5.132","Model_7","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.518      1.370      4.168","Model_8","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.309      1.844      4.995","Model_9","output/Docking_Vina/results_Vina_X131675179_3ECM.pdb_ligand_vina_out_score.csv"
