"vina_results","Model","Path"
"REMARK VINA RESULT:    -6.261      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.231      1.617      3.772","Model_2","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.211      2.390      4.418","Model_3","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.189      8.961     10.512","Model_4","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.177      9.095     11.233","Model_5","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.153      9.957     11.708","Model_6","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.078      8.977     10.929","Model_7","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.052     10.430     11.359","Model_8","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.036     11.951     12.615","Model_9","output/Docking_Vina/results_Vina_X323_9EYJ.pdb_ligand_vina_out_score.csv"
