"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.124      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.093      1.478      1.954","Model_2","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.087      2.994      5.951","Model_3","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.051     15.978     17.429","Model_4","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.858     15.811     18.065","Model_5","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.844      1.519      2.254","Model_6","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.824      2.640      5.100","Model_7","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.801      1.424      2.340","Model_8","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.788     15.799     17.130","Model_9","output/Docking_Vina/results_Vina_X1713001_1V9X.pdb_ligand_vina_out_score.csv"
