"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.721      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.720      2.626      4.801","Model_2","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.693      2.358      5.551","Model_3","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.681      2.364      3.954","Model_4","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.673      2.811      6.623","Model_5","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.671      2.108      6.345","Model_6","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.666      1.955      4.979","Model_7","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.659      2.597      5.814","Model_8","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.644      2.328      4.857","Model_9","output/Docking_Vina/results_Vina_X11197_1SPH.pdb_ligand_vina_out_score.csv"
