"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.744      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.612      4.096      6.130","Model_2","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.607      5.181      7.208","Model_3","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.552      4.789      7.304","Model_4","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.538      3.111      5.561","Model_5","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.533      3.163      5.857","Model_6","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.474      3.758      6.121","Model_7","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.446      3.896      5.610","Model_8","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.389      3.275      5.523","Model_9","output/Docking_Vina/results_Vina_X24836956_1U3Q.pdb_ligand_vina_out_score.csv"
