"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.395      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.339     12.313     14.197","Model_2","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.273      3.483      5.773","Model_3","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.168     11.953     13.918","Model_4","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.137      1.552      2.567","Model_5","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.040     12.228     13.791","Model_6","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.010     13.225     14.718","Model_7","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.973     13.248     14.409","Model_8","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.907      3.118      4.481","Model_9","output/Docking_Vina/results_Vina_X5317572_6DDK.pdb_ligand_vina_out_score.csv"
