"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.886      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.865      1.811      2.845","Model_2","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.853      1.830      2.798","Model_3","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.804      1.379      6.569","Model_4","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.793      1.388      6.757","Model_5","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.692      1.878      7.112","Model_6","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.643      1.649      2.737","Model_7","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.580      1.429      1.530","Model_8","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.415      1.379      1.909","Model_9","output/Docking_Vina/results_Vina_X185914_6HKC.pdb_ligand_vina_out_score.csv"
