"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.639      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.635      1.934      3.339","Model_2","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.441      1.943      3.373","Model_3","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.420      2.403      6.317","Model_4","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.409      1.985      3.083","Model_5","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.380      3.091      6.169","Model_6","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.373      3.053      5.809","Model_7","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.368      3.568      6.121","Model_8","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.320      2.917      5.624","Model_9","output/Docking_Vina/results_Vina_X445639_5US3.pdb_ligand_vina_out_score.csv"
