"vina_results","Model","Path"
"REMARK VINA RESULT:     7.473      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X8158_5WGK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     7.699      3.350      5.380","Model_2","output/Docking_Vina/results_Vina_X8158_5WGK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     8.410      5.165      7.642","Model_3","output/Docking_Vina/results_Vina_X8158_5WGK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     8.518      3.774      5.457","Model_4","output/Docking_Vina/results_Vina_X8158_5WGK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     8.926      2.731      4.983","Model_5","output/Docking_Vina/results_Vina_X8158_5WGK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    10.295     17.243     18.088","Model_6","output/Docking_Vina/results_Vina_X8158_5WGK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    10.383     17.075     17.728","Model_7","output/Docking_Vina/results_Vina_X8158_5WGK.pdb_ligand_vina_out_score.csv"
