"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.038      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.034      0.045      4.263","Model_2","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.701      1.583      2.246","Model_3","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.630     14.569     15.765","Model_4","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.620     14.526     15.372","Model_5","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.610     13.323     14.968","Model_6","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.604     13.564     15.533","Model_7","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.526     12.923     14.395","Model_8","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.515     12.851     13.901","Model_9","output/Docking_Vina/results_Vina_X1110_3OEM.pdb_ligand_vina_out_score.csv"
