"vina_results","Model","Path"
"REMARK VINA RESULT:    -6.525      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.501      1.720      4.750","Model_2","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.316      1.687      3.472","Model_3","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.301      1.517      2.755","Model_4","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.298      1.097      4.268","Model_5","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.053      8.763     11.293","Model_6","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.031      8.846     11.123","Model_7","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.014      8.686     10.816","Model_8","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.970      9.085     11.838","Model_9","output/Docking_Vina/results_Vina_X10658_6EZZ.pdb_ligand_vina_out_score.csv"
