"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.022      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.969      2.883      3.731","Model_2","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.890      2.263      3.579","Model_3","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.693      2.671      4.086","Model_4","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.630      3.630      5.163","Model_5","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.502      1.525      2.287","Model_6","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.497      1.343      2.696","Model_7","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.354      2.153      3.154","Model_8","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.239      1.564      2.437","Model_9","output/Docking_Vina/results_Vina_X338_6O7C.pdb_ligand_vina_out_score.csv"
