"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.173      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.914      1.069      2.088","Model_2","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.909      1.293      4.154","Model_3","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.872      2.983      4.966","Model_4","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.702      1.021      3.840","Model_5","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.692      1.441      3.689","Model_6","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.673      1.421      3.738","Model_7","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.615      1.682      3.042","Model_8","output/Docking_Vina/results_Vina_X5311110_4WLN.pdb_ligand_vina_out_score.csv"
