"vina_results","Model","Path"
"REMARK VINA RESULT:    -8.300      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -8.108     10.171     13.756","Model_2","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -8.100      7.780     13.038","Model_3","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -8.083      9.133     13.033","Model_4","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -8.080      6.127      9.398","Model_5","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -8.005      5.472      8.284","Model_6","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -7.998      9.390     12.053","Model_7","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -7.988      2.743      6.860","Model_8","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -7.720      9.892     13.152","Model_9","output/Docking_Vina/results_Vina_X21594261_4TO6.pdb_ligand_vina_out_score.csv"
