"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.948      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.693     10.646     12.314","Model_2","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.672     10.902     12.412","Model_3","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.658      9.940     11.332","Model_4","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.649     10.315     12.119","Model_5","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.521      3.730      5.332","Model_6","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.461      8.209      9.895","Model_7","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.448      3.818      5.134","Model_8","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.419      2.921      4.434","Model_9","output/Docking_Vina/results_Vina_X29025_8CHK.pdb_ligand_vina_out_score.csv"
