"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.209      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.105      1.747      4.522","Model_2","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.971      1.501      3.466","Model_3","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.923      2.920      5.307","Model_4","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.916      0.918      2.002","Model_5","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.907      2.635      5.431","Model_6","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.887      0.853      2.537","Model_7","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.878      1.151      3.610","Model_8","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.813      0.980      1.918","Model_9","output/Docking_Vina/results_Vina_X985_5DA7.pdb_ligand_vina_out_score.csv"
