"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.965      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.865      1.914      2.825","Model_2","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.861      1.375      2.135","Model_3","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.829     11.371     12.597","Model_4","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.777     11.610     12.458","Model_5","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.721      1.485      2.617","Model_6","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.678     12.306     13.022","Model_7","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.645      2.447      4.146","Model_8","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.564      2.418      3.542","Model_9","output/Docking_Vina/results_Vina_X338_8Q44.pdb_ligand_vina_out_score.csv"
