"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.971      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.785      2.708      5.471","Model_2","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.940      1.933      4.677","Model_3","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.908      4.017      7.120","Model_4","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.710      1.088      3.536","Model_5","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.683      3.337      6.279","Model_6","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.535      4.699      7.579","Model_7","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.403      3.162      6.729","Model_8","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -1.779      5.250      6.586","Model_9","output/Docking_Vina/results_Vina_X985_2CZC.pdb_ligand_vina_out_score.csv"
