"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.458      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.401     10.220     11.750","Model_2","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.199      4.420      5.717","Model_3","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.135     16.883     17.989","Model_4","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.116      4.079      5.624","Model_5","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.076      4.188      5.877","Model_6","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.015      2.609      3.718","Model_7","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.963     17.073     18.169","Model_8","output/Docking_Vina/results_Vina_X29025_4L7W.pdb_ligand_vina_out_score.csv"
