"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.791      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.610      2.680      5.434","Model_2","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.538      0.964      4.697","Model_3","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.501      1.509      1.992","Model_4","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.498      1.587      1.982","Model_5","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.486      1.469      2.042","Model_6","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.484      1.586      5.382","Model_7","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.431      2.134      3.323","Model_8","output/Docking_Vina/results_Vina_X5192_6YW4.pdb_ligand_vina_out_score.csv"
