"vina_results","Model","Path"
"REMARK VINA RESULT:    -6.716      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X259846_4ZIA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.578      3.102      7.466","Model_2","output/Docking_Vina/results_Vina_X259846_4ZIA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.553      2.448      7.399","Model_3","output/Docking_Vina/results_Vina_X259846_4ZIA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.400      1.862      4.154","Model_4","output/Docking_Vina/results_Vina_X259846_4ZIA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.337      3.219      7.233","Model_5","output/Docking_Vina/results_Vina_X259846_4ZIA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.171      3.467      7.820","Model_6","output/Docking_Vina/results_Vina_X259846_4ZIA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.129      2.823      7.518","Model_7","output/Docking_Vina/results_Vina_X259846_4ZIA.pdb_ligand_vina_out_score.csv"
