"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.404      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.186      2.996      5.032","Model_2","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.150     17.043     19.174","Model_3","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.145      2.604      3.776","Model_4","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.114      2.092      5.774","Model_5","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.046     17.645     19.154","Model_6","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.012     17.707     19.155","Model_7","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.003     17.543     19.121","Model_8","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.950     17.817     19.730","Model_9","output/Docking_Vina/results_Vina_X445639_7RYW.pdb_ligand_vina_out_score.csv"
