"vina_results","Model","Path"
"REMARK VINA RESULT:    -6.329      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.054      3.921      7.902","Model_2","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.040      3.843      7.948","Model_3","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.937      0.906      1.553","Model_4","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.731      3.700      7.929","Model_5","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.903      3.994      8.171","Model_6","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.870      1.473      2.423","Model_7","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.764      2.336      3.920","Model_8","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.563     11.400     14.105","Model_9","output/Docking_Vina/results_Vina_X11005_7XUM.pdb_ligand_vina_out_score.csv"
