"vina_results","Model","Path"
"REMARK VINA RESULT:    -6.304      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.126     12.277     14.495","Model_2","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.104     12.170     13.602","Model_3","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.085     11.705     15.111","Model_4","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.064     12.449     14.276","Model_5","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.039     10.866     13.705","Model_6","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.030     12.633     14.746","Model_7","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.018     11.669     12.936","Model_8","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.971     12.347     14.623","Model_9","output/Docking_Vina/results_Vina_X985_7UI5.pdb_ligand_vina_out_score.csv"
