"vina_results","Model","Path"
"REMARK VINA RESULT:    -6.447      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.393      2.123      3.926","Model_2","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.256      2.232      7.472","Model_3","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.214      1.830      2.540","Model_4","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.164      2.499      7.245","Model_5","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.082      1.294      2.998","Model_6","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.940     11.601     13.979","Model_7","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.854      1.557      7.044","Model_8","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.837      2.144      3.332","Model_9","output/Docking_Vina/results_Vina_X5280343_6JWD.pdb_ligand_vina_out_score.csv"
