"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.752      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.158      1.805      3.757","Model_2","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.991      2.016      4.982","Model_3","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.915      1.547      3.679","Model_4","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.839      1.239      3.947","Model_5","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.625      2.038      4.057","Model_6","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.620      5.432      7.680","Model_7","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.619      2.560      5.020","Model_8","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.600      2.016      3.089","Model_9","output/Docking_Vina/results_Vina_X5317572_2GIU.pdb_ligand_vina_out_score.csv"
