"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.145      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.963      1.520      1.537","Model_2","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.896      2.114      2.441","Model_3","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.885      1.332      2.430","Model_4","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.841      1.229      4.798","Model_5","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.813      2.871      5.399","Model_6","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.804      2.252      5.259","Model_7","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.795      1.406      5.354","Model_8","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.785     13.290     14.326","Model_9","output/Docking_Vina/results_Vina_X5280460_5LLP.pdb_ligand_vina_out_score.csv"
