"vina_results","Model","Path"
"REMARK VINA RESULT:    12.308      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5281_4NK8.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    12.777      0.890      1.460","Model_2","output/Docking_Vina/results_Vina_X5281_4NK8.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    12.910      3.363      9.015","Model_3","output/Docking_Vina/results_Vina_X5281_4NK8.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    13.511      4.755      7.344","Model_4","output/Docking_Vina/results_Vina_X5281_4NK8.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    13.966      2.776      8.608","Model_5","output/Docking_Vina/results_Vina_X5281_4NK8.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    14.901      5.737      7.786","Model_6","output/Docking_Vina/results_Vina_X5281_4NK8.pdb_ligand_vina_out_score.csv"
