"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.398      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.242      3.006      7.291","Model_2","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.241      2.661      6.225","Model_3","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.193      3.256      7.434","Model_4","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.184      3.474      8.346","Model_5","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.174      3.404      7.478","Model_6","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.158      3.508      8.258","Model_7","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.138      2.500      7.202","Model_8","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.131      2.989      5.321","Model_9","output/Docking_Vina/results_Vina_X10470_8U4U.pdb_ligand_vina_out_score.csv"
