"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.393      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.260      1.816      3.729","Model_2","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.245      1.528      3.527","Model_3","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.215      2.280      4.439","Model_4","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.194      1.717      1.790","Model_5","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.157      1.475      2.108","Model_6","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.097      2.387      4.236","Model_7","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.089     13.318     14.932","Model_8","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.080      1.767      2.532","Model_9","output/Docking_Vina/results_Vina_X117297_7UJF.pdb_ligand_vina_out_score.csv"
