"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.457      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.360      2.371      2.924","Model_2","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.281      1.094      3.372","Model_3","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.262      1.595      4.061","Model_4","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.253      5.365      8.550","Model_5","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.221      1.725      4.932","Model_6","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.189      2.841      4.804","Model_7","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.187      2.500      3.704","Model_8","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.158      1.852      4.246","Model_9","output/Docking_Vina/results_Vina_X10470_5ITX.pdb_ligand_vina_out_score.csv"
