"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.493      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.297      1.231      4.552","Model_2","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.010      1.596      3.982","Model_3","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.903      1.180      4.086","Model_4","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.803      1.412      2.361","Model_5","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.765      1.594      4.721","Model_6","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.730      1.306      3.918","Model_7","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.719      1.516      4.418","Model_8","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.617      1.687      3.949","Model_9","output/Docking_Vina/results_Vina_X442359_2CLA.pdb_ligand_vina_out_score.csv"
