"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.007      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.940      8.262     12.273","Model_2","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.859     17.590     19.321","Model_3","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.759      3.416      4.973","Model_4","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.658     17.094     19.273","Model_5","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.525     17.555     18.314","Model_6","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.440     17.903     19.612","Model_7","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.310      3.999      6.240","Model_8","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.008     18.049     19.758","Model_9","output/Docking_Vina/results_Vina_X3593_5ZKO.pdb_ligand_vina_out_score.csv"
