"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.287      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.249      2.099      3.190","Model_2","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.189      2.452      7.748","Model_3","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.149      1.839      6.640","Model_4","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.128      2.068      7.329","Model_5","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.118      1.928      2.340","Model_6","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.041      1.975      7.717","Model_7","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.012      1.799      4.236","Model_8","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -2.383      1.788      6.714","Model_9","output/Docking_Vina/results_Vina_X107848_1GSU.pdb_ligand_vina_out_score.csv"
