"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.994      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.982      2.830      3.848","Model_2","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.952      2.455      3.694","Model_3","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.907      2.844      3.224","Model_4","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.873      2.963      3.398","Model_5","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.867      3.506      4.652","Model_6","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.795      2.291      2.512","Model_7","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.734      1.900      2.657","Model_8","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.702      2.531      3.335","Model_9","output/Docking_Vina/results_Vina_X7991_7U68.pdb_ligand_vina_out_score.csv"
