"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.235      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.227      0.916      2.932","Model_2","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.098      2.093      3.817","Model_3","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.035      3.172      8.293","Model_4","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.016      2.963      8.177","Model_5","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.989      1.728      3.524","Model_6","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.972      3.033      8.121","Model_7","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.964      2.961      8.012","Model_8","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.810      1.726      2.605","Model_9","output/Docking_Vina/results_Vina_X5460660_6A8O.pdb_ligand_vina_out_score.csv"
