"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.732      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.694      1.766      2.318","Model_2","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.661      3.107      3.913","Model_3","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.619      1.088      1.711","Model_4","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.585      1.756      2.308","Model_5","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.539      2.294      3.636","Model_6","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.432      2.820      3.911","Model_7","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.341     14.200     14.849","Model_8","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.313     25.670     26.344","Model_9","output/Docking_Vina/results_Vina_X7991_2CZC.pdb_ligand_vina_out_score.csv"
