"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.736      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.722      1.252      3.473","Model_2","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.681      1.279      3.582","Model_3","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.668      2.886      5.210","Model_4","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.665      3.108      5.059","Model_5","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.661      1.591      3.678","Model_6","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.630      2.757      5.637","Model_7","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.574      1.372      2.498","Model_8","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.560      1.368      3.770","Model_9","output/Docking_Vina/results_Vina_X11005_1HNB.pdb_ligand_vina_out_score.csv"
