"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.644      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.541      1.943      2.649","Model_2","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.506      0.848      1.621","Model_3","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.469      1.983      3.038","Model_4","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.460      1.680      2.319","Model_5","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.418      3.384      6.050","Model_6","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.404     10.589     12.778","Model_7","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.395      3.066      6.869","Model_8","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.344     10.187     12.086","Model_9","output/Docking_Vina/results_Vina_X11005_8WUE.pdb_ligand_vina_out_score.csv"
