"vina_results","Model","Path"
"REMARK VINA RESULT:    -7.252      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -7.193      1.920      2.888","Model_2","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -7.109      1.963      2.564","Model_3","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -7.097      2.263      2.589","Model_4","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.893      2.079      6.932","Model_5","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.874     10.150     12.173","Model_6","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.700      2.532      3.073","Model_7","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.683      2.072      6.865","Model_8","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -6.661      2.714      6.998","Model_9","output/Docking_Vina/results_Vina_X5281670_7A6F.pdb_ligand_vina_out_score.csv"
