"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.952      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.924      3.385      5.180","Model_2","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.860      3.359      5.242","Model_3","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.683      2.035      2.657","Model_4","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.539      1.568      6.245","Model_5","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.527      1.388      2.918","Model_6","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.487      1.740      3.742","Model_7","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.275      2.010      6.407","Model_8","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.241      2.516      6.050","Model_9","output/Docking_Vina/results_Vina_X5280863_6OQO.pdb_ligand_vina_out_score.csv"
