"vina_results","Model","Path"
"REMARK VINA RESULT:    -2.232      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X11005_6HJ2.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -1.987      1.506      2.147","Model_2","output/Docking_Vina/results_Vina_X11005_6HJ2.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -1.742      2.956      6.391","Model_3","output/Docking_Vina/results_Vina_X11005_6HJ2.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -1.578      3.303      6.597","Model_4","output/Docking_Vina/results_Vina_X11005_6HJ2.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -0.644      3.203      6.556","Model_5","output/Docking_Vina/results_Vina_X11005_6HJ2.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -0.485      3.034      6.224","Model_6","output/Docking_Vina/results_Vina_X11005_6HJ2.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -0.210      1.602      2.344","Model_7","output/Docking_Vina/results_Vina_X11005_6HJ2.pdb_ligand_vina_out_score.csv"
