"vina_results","Model","Path"
"REMARK VINA RESULT:     6.041      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     6.463      3.416      9.431","Model_2","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     7.436      3.628      9.243","Model_3","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     7.609      1.456      3.290","Model_4","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     7.757      3.843      9.839","Model_5","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     7.854      1.852      2.271","Model_6","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     7.969      3.659      9.106","Model_7","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     8.099      3.878      9.469","Model_8","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:     8.170      3.393      8.930","Model_9","output/Docking_Vina/results_Vina_X11197_7RIV.pdb_ligand_vina_out_score.csv"
