"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.553      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.534      1.575      2.998","Model_2","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.434      2.301      5.508","Model_3","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.398      2.587      5.425","Model_4","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.374      1.965      4.088","Model_5","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.364      1.449      2.062","Model_6","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.311      1.557      2.778","Model_7","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.289      3.736      4.791","Model_8","output/Docking_Vina/results_Vina_X985_4WSG.pdb_ligand_vina_out_score.csv"
