"vina_results","Model","Path"
"REMARK VINA RESULT:    -5.726      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.596      2.001      5.672","Model_2","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.557     16.197     17.650","Model_3","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.485      2.896      5.441","Model_4","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -5.174      5.384      8.288","Model_5","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.707     17.667     18.636","Model_6","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.590      3.994      7.257","Model_7","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.537      4.722      6.240","Model_8","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.533      6.311      7.699","Model_9","output/Docking_Vina/results_Vina_X637542_3KOC.pdb_ligand_vina_out_score.csv"
