"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.740      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.686      1.998      4.030","Model_2","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.663      7.859      9.265","Model_3","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.632      1.027      2.247","Model_4","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.600      7.766      8.973","Model_5","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.567      5.403      6.828","Model_6","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.567      4.609      6.248","Model_7","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.524      3.408      6.072","Model_8","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.484      6.209      7.503","Model_9","output/Docking_Vina/results_Vina_X5281416_8CE7.pdb_ligand_vina_out_score.csv"
