"vina_results","Model","Path"
"REMARK VINA RESULT:    -3.334      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.328      2.996      5.088","Model_2","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.322      1.321      2.983","Model_3","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.292      3.942      5.481","Model_4","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.271      3.336      5.077","Model_5","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.270      2.021      5.641","Model_6","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.245      1.672      4.796","Model_7","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.231      2.891      5.020","Model_8","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -3.228      3.386      6.119","Model_9","output/Docking_Vina/results_Vina_X10470_7UJW.pdb_ligand_vina_out_score.csv"
