"vina_results","Model","Path"
"REMARK VINA RESULT:    -4.646      0.000      0.000","Model_1","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.539      1.279      3.248","Model_2","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.511      2.103      4.902","Model_3","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.491      3.538      8.797","Model_4","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.464      3.527      8.465","Model_5","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.463      3.895      9.190","Model_6","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.435      3.816      8.988","Model_7","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.410      2.439      5.476","Model_8","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
"REMARK VINA RESULT:    -4.385      1.949      2.930","Model_9","output/Docking_Vina/results_Vina_X10470_6C9L.pdb_ligand_vina_out_score.csv"
