"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"GLM_1_AutoML_31_20240206_82827",0.99609375,0.093033140718481,0.994958289969777,0.03125,0.170236583532654,0.0289804943728703
"StackedEnsemble_BestOfFamily_1_AutoML_31_20240206_82827",0.990885416666667,0.127472102202367,0.989063834331418,0.0364583333333333,0.193154307192469,0.0373085863870025
"GBM_grid_1_AutoML_31_20240206_82827_model_2",0.98828125,0.228334296727553,0.985277120542952,0.046875,0.258010922346276,0.0665696360499759
"GBM_3_AutoML_31_20240206_82827",0.985677083333333,0.194885142751736,0.982301750708805,0.0677083333333333,0.24955447840546,0.0622774376922212
"XRT_1_AutoML_31_20240206_82827",0.983072916666667,0.293352057281213,0.979749588897585,0.0729166666666667,0.285271398038667,0.0813797705389354
"GBM_2_AutoML_31_20240206_82827",0.981770833333333,0.205396070802126,0.97896129136969,0.0572916666666667,0.249388999830502,0.062194873236458
"DeepLearning_grid_1_AutoML_31_20240206_82827_model_2",0.981770833333333,0.358831788641212,0.977338151347391,0.0677083333333333,0.277470729669801,0.0769900058234918
"DeepLearning_grid_1_AutoML_31_20240206_82827_model_1",0.979166666666667,0.329870428853733,0.972067285552456,0.0520833333333333,0.284810649382862,0.0811171060018877
"GBM_grid_1_AutoML_31_20240206_82827_model_1",0.977864583333333,0.218335839762937,0.975738657231161,0.0572916666666667,0.257964477167588,0.0665456714803471
"StackedEnsemble_AllModels_1_AutoML_31_20240206_82827",0.975260416666667,0.187068491561184,0.972169151098655,0.078125,0.242557376159188,0.0588340807292297
"DeepLearning_grid_2_AutoML_31_20240206_82827_model_2",0.971354166666667,0.352457846385877,0.969380376330833,0.0729166666666667,0.280234006271714,0.078531098271095
"GBM_4_AutoML_31_20240206_82827",0.967447916666667,0.236251506967998,0.965524412142263,0.0729166666666667,0.268815849646724,0.0722619610212901
"GBM_grid_1_AutoML_31_20240206_82827_model_3",0.966145833333333,0.267069428935537,0.963138841041888,0.078125,0.288364704419227,0.0831542027547881
"GBM_5_AutoML_31_20240206_82827",0.966145833333333,0.314455717039088,0.962389584247616,0.0572916666666667,0.318906294771545,0.101701224844915
"DRF_1_AutoML_31_20240206_82827",0.959635416666667,0.320417829935702,0.964363178367263,0.0625,0.300763274341959,0.0904585471928963
"DeepLearning_grid_2_AutoML_31_20240206_82827_model_3",0.9453125,1.1268668251967,0.906216171458977,0.0989583333333333,0.395304897816081,0.156265962237382
"DeepLearning_grid_3_AutoML_31_20240206_82827_model_2",0.94140625,0.673635681119718,0.948089389873918,0.0885416666666667,0.290750810166934,0.0845360336127283
"GBM_grid_1_AutoML_31_20240206_82827_model_5",0.928385416666667,0.341919909749438,0.930472432277717,0.125,0.324620098534478,0.105378208372534
"DeepLearning_grid_2_AutoML_31_20240206_82827_model_1",0.903645833333333,1.05291476495533,0.850344338870649,0.109375,0.399122501953201,0.159298771565383
"DeepLearning_grid_1_AutoML_31_20240206_82827_model_3",0.883463541666667,3.31390724979394,0.77745975957902,0.161458333333333,0.420877887114271,0.177138195861773
"DeepLearning_grid_3_AutoML_31_20240206_82827_model_1",0.863932291666667,1.66931109365279,0.703929884424005,0.15625,0.393431524307413,0.154788364318855
"DeepLearning_1_AutoML_31_20240206_82827",0.860677083333333,2.07884402256658,0.678314230933211,0.135416666666667,0.390037151700458,0.152128979706606
